item,description,price,image
Penne Arrabbiata Pasta,Penna pasta in a traditional spicy tomato sauce.,55,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637888989664777493?width=172&amp;height=172
Turkey Club Sandwich,"Turkey pastrami, beef bacon, fried egg, cos lettuce, tomato, mayo, ketchup, served with fries or sweet potato fries",65,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637888990849681952?width=172&amp;height=172
Chicken Avo Caesar Wrap,"Grilled chicken, avocado, rocket, tomato, mozzarella cheese, caesar dressing, served with fries or sweet potato fries",58,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637888993682593041?width=172&amp;height=172
Halloumi Wrap,"Crispy halloumi, pesto, cherry tomato, rocket, olives, served with fries or sweet potato fries",51,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637888994952666868?width=172&amp;height=172
Smashed Beef Burger,"Beef smashed onto hot grill with cheddar cheese, pickle, tomato, cos lettuce, beef bacon, burger sauce, warm potato bun and served with fries or sweet potato fries",65,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889031597889085?width=172&amp;height=172
Double Up Burger,"Double beef patties, beef bacon, cos lettuce, fried egg, cheddar cheese, ketchup, special sauce and warm potato bun. Served with fries or sweet potato fries",74,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889032405639264?width=172&amp;height=172
Crispy Chicken Burger,"Breaded crispy chicken, burger sauce, caesar dressing, lettuce, tomato, cheddar cheese,  warm potato bun, served with fries or sweet potato fries",60,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889033518894544?width=172&amp;height=172
Vexican Burger,"Plant based burger patty, salsa, guacamole, vegan feta, lettuce, vegan bun and served with fries or sweet potato fries",69,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889034251489310?width=172&amp;height=172
Zaatar Grilled Chicken,"Zaatar chicken, quinoa, baby potatoes, baby spinach, kale, yoghurt tahini dressing, crushed pistachio and chilli flakes",70,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889034984992914?width=172&amp;height=172
Chicken Katsu Curry,"Crumbed chicken, Japanese katsu sauce, seaweed served with steamed Jasmin rice",62,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889035575541817?width=172&amp;height=172
Mexican Bowl,"Chilli con carne beef, cilantro rice, avocado, fresh salsa, sour cream and cilantro",62,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889036765604092?width=172&amp;height=172
Thai Green Curry,"Chicken, Thai green curry, lime leaf and basil. Served with steamed jasmine rice",62,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889036880067899?width=172&amp;height=172
Chicken Cashew Nut,"Stir-fried chicken, bell peppers, onions, signature sauce, dried chili, cashew nuts and spring onion. Served with steamed jasmine rice",66,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889038324547385?width=172&amp;height=172
Fish N' Chips,"Battered crispy fish fillet, served with fries and tartare sauce",66,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889039160314307?width=172&amp;height=172
Kids' Chix Strips,"Crispy chicken, French fries and ketchup",34,https://images.deliveryhero.io/image/talabat/Menuitems/CHICKEN_STRIPS-01_637172914185128373.jpg?width=172&amp;height=172
Chix Alfredo,"Penne pasta, grilled chicken, portobello, button mushrooms, parmesan cheese and pesto",34,https://images.deliveryhero.io/image/talabat/Menuitems/KIDS_CHICKEN_ALFREDO_637172914207684697.jpg?width=172&amp;height=172
Kids Fish And Chips,"Crispy fried fish fillet, french fries and ketchup",34,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637410351760628360?width=172&amp;height=172
Kiddies Pancake,"Pancakes, maple syrup and whipping cream",34,https://images.deliveryhero.io/image/talabat/Menuitems/mmw_637889042587721663?width=172&amp;height=172
Sticky Date Pudding,,39,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776470441009211?width=172&amp;height=172
Carrot Cake,,39,https://images.deliveryhero.io/image/talabat/Menuitems/blob_637776470936072669?width=172&amp;height=172
