item,description,price,image
Labneh,"Creamy yogurt drizzled with olive oil. Served with freshly baked bread, mint leaves, tomatoes, cucumbers and olives",28,https://images.deliveryhero.io/image/talabat/Menuitems/9312CD7854956B32F1B7B54628EB7A0C?width=172&amp;height=172
Light Halloumi Pan,"Slices of baked light halloumi cheese. Served with mint leaves, tomatoes and cucumbers.",34,https://images.deliveryhero.io/image/talabat/Menuitems/3F24B0D0506F6941CAA8EE0E64D3D3BD?width=172&amp;height=172
Potato Chicken,Roasted chicken with baked potatoes & cherry tomatoes marinated in a garlic lemon and coriander sauce. Served with freshly baked bread on the side,42,https://images.deliveryhero.io/image/talabat/Menuitems/02E9314133463D0C88887C58DDF3A1B6?width=172&amp;height=172
Gathering Box,3 Wraps and 2 hot appetizers. No customization can be done to this item.,98,https://images.deliveryhero.io/image/talabat/Menuitems/181B50E3DB5E8714BB28D861C89D6027?width=172&amp;height=172
Group Box For-10,"Save up to 35% by selecting 10 of your favorite wraps or manakeesh, all cut into four. No customization can be done to this item.",276,https://images.deliveryhero.io/image/talabat/Menuitems/2BC130A3E912FE5E9D714FA62D617CF5?width=172&amp;height=172
Baked Potato & Cheese,"Baked potato slices topped with melted cheese, pine seeds & a pinch of rosemary. Served with sour cream on the side",20,https://images.deliveryhero.io/image/talabat/Menuitems/52E5E8678C5A72114113605D119DF9F4?width=172&amp;height=172
Cheese Balls,8 breaded pieces of our unique cheese mix & sprinkle of zaatar served with thousand island dipping sauce.,22,https://images.deliveryhero.io/image/talabat/Menuitems/18CC59F8644C001859B4F0C355884CA7?width=172&amp;height=172
Chicken Breaded,4 pieces of chicken fillet strips breaded with crumbs. Served with honey mustard dip.,22,https://images.deliveryhero.io/image/talabat/Menuitems/58E595293FE7EA94FD49B49A196D9814?width=172&amp;height=172
Fries & Cheese,Fries topped with melted cheese. Served with sour cream on the side,20,https://images.deliveryhero.io/image/talabat/Menuitems/842231252253298ABC6DCBE65F90C21A?width=172&amp;height=172
Fries,A basket of french fries,13,https://images.deliveryhero.io/image/talabat/Menuitems/11B3E04AF9B0EA6ED4FAF2ED11989E7C?width=172&amp;height=172
Golden Wedges,Fried potato wedges served with our signatures spicy sauce.,16,https://images.deliveryhero.io/image/talabat/Menuitems/0BCF3189B0E21918244A692C7A327E4D?width=172&amp;height=172
Halloumi Sticks,4 pieces of halloumi cheese sticks breaded with Z crumbs served with thousand island dip on the side,22,https://images.deliveryhero.io/image/talabat/Menuitems/00CCACBC68D07A8BD7BB24BC31682A8A?width=172&amp;height=172
Hummus & Crackers,Mashed chickpeas blended with tahini sauce. Served with chopped grilled vegetables and toasted multi cereal crackers on the side,19,https://images.deliveryhero.io/image/talabat/Menuitems/451A902D95F56EE3414DCE9B960F66D1?width=172&amp;height=172
Levantine Lentil Soup,"A combination of blended yellow lentil with carrots, onion, & garlic. Served with oven baked croutons.",15,https://images.deliveryhero.io/image/talabat/Menuitems/053C58183AB2BC68148D47647BACBEF5?width=172&amp;height=172
Caesar Deluxe (fried Chicken),Simply Caesar with Fried chicken on top. Served with Caesar dressing.,35,https://images.deliveryhero.io/image/talabat/Menuitems/A6CE07EC3BBE0FCF29C4965C93BD88A8?width=172&amp;height=172
Caesar Deluxe (grilled Chicken),Simply Caesar with grilled chicken on top. Served with Caesar dressing.,35,https://images.deliveryhero.io/image/talabat/Menuitems/CC494A41C3D0E32167DA979D15E4E1D2?width=172&amp;height=172
Chicken Kale Salad,"Kale, flax seeds, dried apricots, green thyme, purslane & grilled chicken. Served with Lemon Balsamic Dressing .",39,https://images.deliveryhero.io/image/talabat/Menuitems/D73DDF61D7667911C6B4176B74168388?width=172&amp;height=172
Chicken Salad,"Lettuce, rocket leaves, roasted almonds, sun-dried tomato and purslane, topped with grilled chicken. Served with balsamic dressing.",36,https://images.deliveryhero.io/image/talabat/Menuitems/039AD92729CDA38A80AEEA46A355018F?width=172&amp;height=172
Halloumi Salad,"Lettuce, rocket leaves, baked halloumi, roasted almonds, sun-dried tomatoes, and purslane. Served with balsamic dressing.",38,https://images.deliveryhero.io/image/talabat/Menuitems/1C73B9A010BCEB08037F3B8980D94EAE?width=172&amp;height=172
Quinoa & Halloumi Salad,"Quinoa, grilled vegetables, black beans, peas, slices of cherry tomatoes, topped with grilled halloumi cubes, chia seeds & pumpkin seeds. Served with Tomato Lemon Dressing  (small portion)",23,https://images.deliveryhero.io/image/talabat/Menuitems/DACE495CD2BE041054AB76AEF31346EC?width=172&amp;height=172
Quinoa Tabbouleh,"Quinoa, chopped tomatoes, green onions, parsley, and mint. Served with Tomato Lemon Dressing (small portion)",20,https://images.deliveryhero.io/image/talabat/Menuitems/3B87C7EEB8D688B1E2023BE1F1267505?width=172&amp;height=172
Simply Caesar,"Romaine lettuce, parmesan cheese, and oven baked croutons. Served with Caesar dressing",27,https://images.deliveryhero.io/image/talabat/Menuitems/3AA3F07044BB1F66DF805DA551E67DCD?width=172&amp;height=172
Simply Caesar - Side Salad,"Side Portion - Romaine lettuce, parmesan cheese, and oven baked croutons. Served with Caesar dressing",14,https://images.deliveryhero.io/image/talabat/Menuitems/5ACBA9BC8C43E3C397BB6514ECE3820C?width=172&amp;height=172
Z Fattoush,"Tomatoes, cucumbers, mint, parsley, green onions, green pepper, purslane, lettuce, halloumi cheese and oven baked bread squares. Served with our special vinaigrette dressing.",25,https://images.deliveryhero.io/image/talabat/Menuitems/E7F6AA424E36BDF8E891F5D96004024A?width=172&amp;height=172
Z Fattoush - Side Salad,"Side Portion - Tomatoes, cucumbers, mint, parsley, green onions, green pepper, purslane, lettuce, halloumi cheese and oven baked bread squares. Served with our special vinaigrette dressing.",14,https://images.deliveryhero.io/image/talabat/Menuitems/659499EC3EED6B166BFFFBE23E6E249D?width=172&amp;height=172
Zooza Salad,"Black beans, boiled egg, tomatoes, corn, black olives, tuna, and lettuce. Served with mustard vinegar dressing.",36,https://images.deliveryhero.io/image/talabat/Menuitems/56F1D8F04834D2F07A39287B53C499EB?width=172&amp;height=172
Seasoned Chicken Salad,"A bed of fresh lettuce & rocket leaves with oven roasted carrots & beetroot, cherry tomatoes, fresh green & red bell pepper topped with our signature grilled chicken. Served with our special honey garlic mustard dressing.",36,https://images.deliveryhero.io/image/talabat/Menuitems/65691D52E25AC47E4ED5C91B73646C53?width=172&amp;height=172
Rocca & Cheese Salad,"Rocket leaves, fresh mushroom & Mshallaleh cheese garnished with Parmesan cheese & roasted almonds. Served with Pomegranate dressing.",23,https://images.deliveryhero.io/image/talabat/Menuitems/201895A7B4FA6FC3E618D0F3220BBD94?width=172&amp;height=172
Blueberry Cheesecake,"Our famous cheesecake with a blueberry twist.Less guilt, more indulgence! Not suitable for sharing.",9,https://images.deliveryhero.io/image/talabat/Menuitems/3F7FE2965BF933C1468B771B1F0D1CEE?width=172&amp;height=172
Chocolate & Banana,"Melted hazelnut milk chocolate spread, topped with slices of banana.",21,https://images.deliveryhero.io/image/talabat/Menuitems/A6A4155AF840FCB8C2CC504E4C473863?width=172&amp;height=172
Chocolate Mousse Cake,"A delicious mix of chocolate cake & chocolate mousse.Less guilt, more indulgence! Not suitable for sharing.",11,https://images.deliveryhero.io/image/talabat/Menuitems/871FEA3D51DFD717F65ED032B409BEA0?width=172&amp;height=172
Knefeh In The Pan,A sizzling delight: melted cheese with knefeh crumbs. Served with Sugar Syrup and Sesame Bread on the side.,24,https://images.deliveryhero.io/image/talabat/Menuitems/EAF87E8C3CE73DF651084FE09118311A?width=172&amp;height=172
Strawberry Jello,"Wonderful wobbly fruitiness. Less guilt, more indulgence! Not suitable for sharing.",6,https://images.deliveryhero.io/image/talabat/Menuitems/E93022B218A770A8A8713424C4C56D7C?width=172&amp;height=172
Z Knefeh,"Sesame flat bread with melted cheese, drizzled with sugar syrup.",22,https://images.deliveryhero.io/image/talabat/Menuitems/F9439D5A120CBC660950740D8C25A5A7?width=172&amp;height=172
Ktiramissu,Our heavenly version of the famous tiramisu dessert,8,https://images.deliveryhero.io/image/talabat/Menuitems/0B53D63EBAC15BEB0C2B37EAA9CBB25B?width=172&amp;height=172
Strawberry Chessecake,Our famous cheesecake with a strawberry twist,9,https://images.deliveryhero.io/image/talabat/Menuitems/ABF7FED8DBDE36C6250B450DA527E8AB?width=172&amp;height=172
Red Velvet,Luscious Red Velvet cake with creamy frosting,11,https://images.deliveryhero.io/image/talabat/Menuitems/8CBE4DA1292ADB95308018ED7A5FCCB8?width=172&amp;height=172
Carrot Cake,Moist cinnamon flavoured carrot cake covered with soft cream cheese frosting.,11,https://images.deliveryhero.io/image/talabat/Menuitems/A68D2F2DCFD7878031C8074CAC1D6314?width=172&amp;height=172
Strawberry White Chocolate,Smooth white chocolate spread on freshly baked flatbread and loaded with a mix of strawberry fruit & marshmallow,21,https://images.deliveryhero.io/image/talabat/Menuitems/3CEF8D2354F0F928B43E2F528771B1CB?width=172&amp;height=172
7up,,8,https://images.deliveryhero.io/image/talabat/Menuitems/B45970E64BD5969ABFE65FC33862664B?width=172&amp;height=172
Apple Juice (330 Mls),Cold-pressed Apple Juice,18,https://images.deliveryhero.io/image/talabat/Menuitems/9230292C9D0A7C0ED53785708DB5F348?width=172&amp;height=172
Carrot Juice (330 Ml),Cold-pressed carrot juice,18,https://images.deliveryhero.io/image/talabat/Menuitems/17DC241FF5A066F981192AE026C1CF5B?width=172&amp;height=172
Diet 7up,,8,https://images.deliveryhero.io/image/talabat/Menuitems/A77093E4ECE0F26DE83AE27618B7BE05?width=172&amp;height=172
Diet Pepsi,,8,https://images.deliveryhero.io/image/talabat/Menuitems/C164281C2B7C305A3AAA53581EDCD9C3?width=172&amp;height=172
Evian Water,,12,https://images.deliveryhero.io/image/talabat/Menuitems/13CD74BA0BB4FFC56C08AAE61167F59C?width=172&amp;height=172
Fresh Yoghurt (330 Ml),Home-made Yogurt drink,16,https://images.deliveryhero.io/image/talabat/Menuitems/2DE8418878CCEC1FC8C7CD83214CE7BB?width=172&amp;height=172
Freshen Up Shot (100 Ml),"Freshen up your body with our cold-pressed mix of beetroot, ginger, orange & lemon",8,https://images.deliveryhero.io/image/talabat/Menuitems/62DF2438481E1831E6A906437EE8D707?width=172&amp;height=172
Ice Tea Lemon (330 Ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/DBC246E0121C97B76F066AE155C8E323?width=172&amp;height=172
Ice Tea Peach (330 Ml),,9,https://images.deliveryhero.io/image/talabat/Menuitems/2E6557C8C6073447E0BD9B141BA6B3A2?width=172&amp;height=172
Lemonade (330 Ml),Cold-pressed Lemonade,15,https://images.deliveryhero.io/image/talabat/Menuitems/23506C8BDFFE3D44BA2BADE03A22C2DA?width=172&amp;height=172
Mirinda,,8,https://images.deliveryhero.io/image/talabat/Menuitems/E1B448C2D49D292FE638850D73BE266E?width=172&amp;height=172
Mountain Dew,,8,https://images.deliveryhero.io/image/talabat/Menuitems/0E2A7C142D78392039256726EFF93320?width=172&amp;height=172
Orange Juice (330 Ml),Cold-pressed Orange Juice,18,https://images.deliveryhero.io/image/talabat/Menuitems/8A47620D7AE68EA93CE3992755DC3210?width=172&amp;height=172
Pepsi,,8,https://images.deliveryhero.io/image/talabat/Menuitems/0C4532E64112ED1567CF4FE50B397577?width=172&amp;height=172
Sparkling Water,,13,https://images.deliveryhero.io/image/talabat/Menuitems/453E610373EA2A9D3AA32C1B01E1C92A?width=172&amp;height=172
Still Water,,8,https://images.deliveryhero.io/image/talabat/Menuitems/C5EE9E1395307F943758DD441EC2576A?width=172&amp;height=172
Fire Up Boost Shot,"Freshen up your body with our cold-pressed mix of turmeric, ginger, orange, lemon",8,https://images.deliveryhero.io/image/talabat/Menuitems/CDCB7286624ACE63543CB2448EADECD3?width=172&amp;height=172
Charge Up Boost Shot,"Spinach, orange, parsley, ginger",8,https://images.deliveryhero.io/image/talabat/Menuitems/808644B6AB5CF555518FE19524340052?width=172&amp;height=172
Mustard,,1,https://images.deliveryhero.io/image/talabat/Menuitems/25E9B3F5FFCA7634BF1014F1A23E4CB9?width=172&amp;height=172
Mayo,,1,https://images.deliveryhero.io/image/talabat/Menuitems/8AE5A357A756B8F1F7CD00D75AEA823D?width=172&amp;height=172
Ketchup (3 Sachets),,1,https://images.deliveryhero.io/image/talabat/Menuitems/8D37ED3122D0ED53AEC81122873E4604?width=172&amp;height=172
Honey Mustard,,2,https://images.deliveryhero.io/image/talabat/Menuitems/5DA1FCB8186066E31D157BDAE982CDC1?width=172&amp;height=172
1000 Island,,2,https://images.deliveryhero.io/image/talabat/Menuitems/87EF85FA8EC897865DF3D36831EC2A0E?width=172&amp;height=172
Sour Cream,,2,https://images.deliveryhero.io/image/talabat/Menuitems/B0139BC624866D28C4AD340CD9907AC5?width=172&amp;height=172
Spizy Sauce,,2,https://images.deliveryhero.io/image/talabat/Menuitems/F2FA97DEF5E1388A79B5684521A8EF0B?width=172&amp;height=172
Garlic Mayo,,2,https://images.deliveryhero.io/image/talabat/Menuitems/8FFFDC25BACCE37141A65FE12C66723F?width=172&amp;height=172
Grilled Salmon w/ Asparagus & Egg,"Salmon fillet treated with butter and cajun, served with baby spinach, grilled asparagus, cherry tomatoes, and a whole boiled egg, garnished with sesame seeds.
Kcal: 595, P: 38g C: 9g F: 45g",60,https://images.deliveryhero.io/image/talabat/Menuitems/B0EB546E28E1E9E1CD969EE0E659AEB8?width=172&amp;height=172
High Protein Cottage Cheese Omelette,"4 whole egg omelette stuffed with cottage cheese, baby spinach, tomatoes, and onion for a delicious meal to help you reach ketosis. 
Kcal: 339, P: 25g C: 9g F: 23g",42,https://images.deliveryhero.io/image/talabat/Menuitems/156F72CDE72CA28AD9F1911B6D4C75B2?width=172&amp;height=172
Signature Keto Pancakes - Cream Cheese & Eggs,"Almond flour and egg based pancakes topped with cream cheese, assorted berries, and egg white scramble, served with a yoghurt strawberry drizzle and sliced pistachio.
Kcal: 605, P: 25g C: 24g F: 45g",50,https://images.deliveryhero.io/image/talabat/Menuitems/A6FBD3B43421CE0F05F964A3C4FFA546?width=172&amp;height=172
Grilled Chicken w/ Mixed Peppers & Cheddar,"Grilled chicken breast with garlic flavored pan tossed zucchini and mixed peppers, topped with cheddar and garnished with rosemary and thyme.
Kcal: 562, P: 56g C: 17g F: 30g",48,https://images.deliveryhero.io/image/talabat/Menuitems/D48455123F3CB66E7EB9E39FB5264CFA?width=172&amp;height=172
Fish Avocado w/ Zucchini Noodles,"Rosemary and thyme flavored butter grilled Nile Perch served with sliced avocado, tomatoes, and zucchini noodles.
Kcal: 460, P: 20g C: 14g F: 36g",52,https://images.deliveryhero.io/image/talabat/Menuitems/05CDB5B12AD87F9187173B686BE11F4C?width=172&amp;height=172
Salmon Mushroom Kale Cauliflower Rice Bowl,"Spice treated salmon fillet cubes with butter sautéed mushrooms and kale, served with garlicy turmeric cauliflower rice.
Kcal: 620, P: 39g C: 20g F: 43g",68,https://images.deliveryhero.io/image/talabat/Menuitems/0FF305E5749632ADB740D08A97D0EFEC?width=172&amp;height=172
Build your own Keto Meal,"Make your own Keto meal - Select your Proteins, Fats, and Veggie Fibre. Add Flavor and Garnish to enhance.",60,https://images.deliveryhero.io/image/talabat/Menuitems/AEAD88008786A0572E1770FE2FBA2380?width=172&amp;height=172
Cajun Chicken Quinoa Bowl,"Cajun spiced chicken, quinoa, cucumber, carrots, and snowpeas cooked in teriyaki sauce and garnished with chili flakes, sesame seeds and spring onions.
Kcal: 346, P: 29g C: 26g F: 14g",48,https://images.deliveryhero.io/image/talabat/Menuitems/6F43A8936BEBF3FAC561C89084FE8848?width=172&amp;height=172
Tuna Lemon Zest Avocado Toast,"Fresh guacamole, avocado slices, and tuna on 2 slices of rye bread, finished with cream cheese, red raddish and lemon zest.
Kcal: 581, P: 23g C: 40g F: 36g",55,https://images.deliveryhero.io/image/talabat/Menuitems/41D50E0F45DC2C9648DC3515B36B602C?width=172&amp;height=172
Overnight Protein Oats w/ Berries,"Oat flour, almond milk, Greek yoghurt and protein powder based overnight oats with blueberries, strawberries, raspberries and green apple topped with sliced pistachio and almond flakes.
Kcal: 796, P: 50g C: 90g F: 26g",49,https://images.deliveryhero.io/image/talabat/Menuitems/4346A549B97AAD99308D2481570EAD8E?width=172&amp;height=172
Breakfast Egg Fajita Wrap,"3 egg scramble with cream cheese, cheddar, tomatoes, mixed bell peppers, baby spinach, and quinoa prepared with a fajita spice and wrapped in a whole wheat tortilla.
Kcal: 447, P: 26g C: 42g F: 19g",45,https://images.deliveryhero.io/image/talabat/Menuitems/93D8F731779ADBC5FE6BCC8E52C95102?width=172&amp;height=172
Herbed Salmon Mango Salsa Bowl,"Rosemary and thyme infused salmon, with mango salsa, edamame, broccoli and corn served on a bed of brown rice.
Kcal: 442, P: 16g C: 40g F: 24g",53,https://images.deliveryhero.io/image/talabat/Menuitems/6E7FAB8085B0958801A181964FE2B829?width=172&amp;height=172
Mushroom Tofu Sushi Wrap,"White mushrooms, tofu, spinach and cream cheese mixed with Japanese short grain rice, seasoning and wrapped in a vitamin enriched sheet of nori seaweed.
Kcal: 705, P: 23g C: 65g F: 39g",50,https://images.deliveryhero.io/image/talabat/Menuitems/C60AE49272DF7817F41F7D7150DEC7B5?width=172&amp;height=172
Build your own Maintenance Meal,"Make your own meal to maintain your fitness level - Select Carbs, Protein, Healthy Fats and Veggie Fibre. Add Flavor to enhance.",57,https://images.deliveryhero.io/image/talabat/Menuitems/055E2565D953F9663841EA55427D59E2?width=172&amp;height=172
"Smoked Salmon, Eggs & Cream Cheese Avocado Toast","Fresh guacamole, avocado slices, a dollop of cream cheese, 3 egg scramble, and smoked salmon slices on 2 rye bread toasts, finished with red radish and mild seasoning. 
KCal: 558 P: 38g C: 39g F: 28g",52,https://images.deliveryhero.io/image/talabat/Menuitems/345AED8789E7AE6EC5B252104626025A?width=172&amp;height=172
Overnight Protein Oats w/ Mango & Berries,"Overnight oats made with Greek yoghurt, almond milk and a scoop of whey protein powder, topped with mango, strawberries, apple, banana, and sliced pistachio.
KCal: 700, P: 45g C: 96g F:16g",48,https://images.deliveryhero.io/image/talabat/Menuitems/EABF60F7A12C8D5CE55079B2299A08E9?width=172&amp;height=172
4 Egg Veggie Scramble w/ Avo & Rye Toast,"4 egg scramble made with whites, mixed bell peppers, carrots and cucumber, served with a side of sliced avocado, hummus and 3 rye bread toasts.
Kcal: 608, P: 30g C: 68g F: 24g",55,https://images.deliveryhero.io/image/talabat/Menuitems/2C88AFEA43BBB05E558282FD9D249B6A?width=172&amp;height=172
Korean Chicken Noodle Bowl w/ Kimchi,"BBQ flavored chicken breast and egg noodles prepared in sesame oil with beansprouts, spring onion, and sesame seeds. Served with kimchi veggies, prepared in fish sauce.
Kcal: 690, P: 54g C: 63g F: 25g",50,https://images.deliveryhero.io/image/talabat/Menuitems/A2658AF72DBEECB3A1A25A3FAE0F7B9C?width=172&amp;height=172
Beef Tenderloin Fajita Burrito Bowl,"Juicy beef steak, fajita veggies, homemade fresh guacamole, black beans, sour cream, and pico de gallo served on a bed of lettuce and Mexican rice. 
Kcal: 790, P: 33g C: 55g F: 49g",48,https://images.deliveryhero.io/image/talabat/Menuitems/7C9DB1D147E5538C6A4D1F076C205D3B?width=172&amp;height=172
Shrimps Asparagus Rice,"Cajun treated shrimps with grilled asparagus and cherry tomatoes on a bed of corn and green bean brown rice. 
Kcal: 708, P: 51g C: 71g F: 25g",54,https://images.deliveryhero.io/image/talabat/Menuitems/BCBAE4DAB8419610EE4C8EF9612C16D7?width=172&amp;height=172
Build your own Gain Strength Meal,"Make your own meal to gain muscle strength - Select your Carbs, Proteins, Fats and Veggie Fibre. Add Flavor to enhance.",58,https://images.deliveryhero.io/image/talabat/Menuitems/97568AE27C9679C7F0750732602FF6C9?width=172&amp;height=172
Turkey & Eggs Scramble Avocado Toast,"Fresh guacamole, avocado slices, topped with smoked turkey, scrambled egg whites, and sautéed spinach on 2 slices of rye breads, finished with mornay sauce and mild seasoning.
Kcal: 548, P: 34g C: 46g F: 26g",42,https://images.deliveryhero.io/image/talabat/Menuitems/80084A2560B98173EFA9B5C641CFED66?width=172&amp;height=172
Cheddar and Spinach High Protein Omelette,"4 egg white omelette stuffed with cheddar cheese, baby spinach, and tomato served with a slice of rye bread.
Kcal: 296, P: 25g C: 22g F: 12g",40,https://images.deliveryhero.io/image/talabat/Menuitems/D14C4E248048A76669F509452034E2FE?width=172&amp;height=172
Blueberry Banana Protein Pancakes,"Egg whites, whey protein, banana, almond flour, and almond milk based pancakes topped with blueberries, strawberries, served with sliced almond and a yoghurt blueberry drizzle.
Kcal: 654, P: 44g C: 36g F: 37g",45,https://images.deliveryhero.io/image/talabat/Menuitems/89A9BCE007EBC8AF8B8A1AB2C6809301?width=172&amp;height=172
Tofu Mushroom Vegan Poke,"Tofu cubes, sautéed mushrooms, edamame, and cucumber on a bed of mixed iceberg lettuce, garnished with sesame seeds, coriander, chili flakes, and seaweed. Dressing: Wasabi Sauce",55,https://images.deliveryhero.io/image/talabat/Menuitems/CA5115DB9BEEB8011924AFDE6EA761BB?width=172&amp;height=172
Chicken Avocado Kale w/ Dukkah Spiced Cauliflower,"Grilled chicken breast with sliced avocado, roasted eggplant, kale, cauliflower florets, red bell peppers, and cherry tomatoes, treated with the Egyptian Dukkah spice and finished with tahina aioli.
Kcal: 504, P: 39g C: 21g F: 29g",50,https://images.deliveryhero.io/image/talabat/Menuitems/39DA5C2412CD56861EA946F3D862C3DF?width=172&amp;height=172
Salmon Shrimps Avo Mango Salad,"Cajun spiced shrimps, salmon fillet cubes, avocado, mango, corn kernels, romaine lettuce, and cucumber with a lemon vinaigrette dressing.
Kcal: 517, P: 30g C: 26g F: 33g",52,https://images.deliveryhero.io/image/talabat/Menuitems/E6853161023E3F8F75E13ED033BDE9FB?width=172&amp;height=172
Build your own Tone Up Meal,"Make your own Lean Meal for toning up - Select Carbs, Protein, Healthy Fats, and Veggie Fibre. Add Flavor to enhance.",55,https://images.deliveryhero.io/image/talabat/Menuitems/D15DEEB6CB9658675C52A819983F873B?width=172&amp;height=172
Beetroot Goat Cheese Salad,"Beetroot chunks with goat cheese cubes, walnuts, and baby spinach.
Dressing: Lemon Vinaigrette & Olive Oil",40,https://images.deliveryhero.io/image/talabat/Menuitems/F0295803CB738ED0EA70C2346CE0D264?width=172&amp;height=172
Pomegranate Lentil Avo Salad,"Earthy and delicious green lentils and sliced avocado with pomegranate seeds on a bed of baby spinach and fresh herbs, topped with hazelnuts. 
Dressing: Lemon Vinaigrette & Pomegranate Sauce.
KCal: 454, P: 20g C: 52g F: 18g",44,https://images.deliveryhero.io/image/talabat/Menuitems/7D1B52DD7CB643569366AD7AC0B04B1A?width=172&amp;height=172
Roasted Tomato Soup,Fresh roasted tomatoes prepared with herbs and topped with shredded mozzarella.,34,https://images.deliveryhero.io/image/talabat/Menuitems/9FA172B086A4655B0E79EA10F6263875?width=172&amp;height=172
Lentil Lamb Soup,Mixed lentils with lamb chunks stewed together with herbs.,37,https://images.deliveryhero.io/image/talabat/Menuitems/249BB0E3A041B8940728619A70E2AA00?width=172&amp;height=172
Steamed Bok Choy w/ Garlic Sauce,"Fresh and nutritious bok choy steam prepared in light soy and garlic, and garnished with fried garlic.
Kcal: 42, P: 3g C: 6g F: 1g",30,https://images.deliveryhero.io/image/talabat/Menuitems/C3B5DD74313CFCB1281ED25EBF7BDDA2?width=172&amp;height=172
Spiced Roasted Sweet Potato,"Sweet potato cubes treated in cajun spice, seasoned with rosemary and thyme.
Kcal: 199, P: 2g C: 24g F: 11g",26,https://images.deliveryhero.io/image/talabat/Menuitems/5CC8AA963176FEF0A836586659E9513D?width=172&amp;height=172
Chicken Satay w/ Peanut Sauce,"High on protein and healthy fats, chicken thigh skewers prepared in soy and Asian spices with a homemade peanut sauce.
KCal: 341, P: 16g C: 18g F: 23g",28,https://images.deliveryhero.io/image/talabat/Menuitems/5486B43B9450B5580FADE71A2E1CCC24?width=172&amp;height=172
Hummus with Grilled Veggies,"Nutritious grilled veggies - zucchini, red bell peppers, baby marrow, and carrots - with a homemade hummus dip.
KCal: 219, P: 5g C: 16g F: 15g",25,https://images.deliveryhero.io/image/talabat/Menuitems/7417E8B2B1BEE05E311BADC2423B50F5?width=172&amp;height=172
Kimchi Veggies,"Homemade delicious kimchi with rich probiotics for gut health. Made with fish sauce.
KCal: 113, P: 6g C: 18g F: 2g",20,https://images.deliveryhero.io/image/talabat/Menuitems/196EA00CC2382B376FA455ECDF0FB2B7?width=172&amp;height=172
Steamed/Spicy Edamame,"Protein rich edamame served steamed or garnished with soy and chili sauce (sambal olek) for extra flavor.
KCal: 222, P: 14g C: 15g F: 11g",25,https://images.deliveryhero.io/image/talabat/Menuitems/C541458C0BA94064EA026AB21D888ED6?width=172&amp;height=172
Rosemary Roasted Potato,Olive oil roasted potato cubes herbed with rosemary,25,
Nut Power Protein Shake,"1 scoop Whey or Vegan protein, peanut butter, oats, almonds, raisins clended with skimmed or almond milk.
KCal: 552, P: 35g C: 42g F: 27g",37,https://images.deliveryhero.io/image/talabat/Menuitems/6AD4F5D0B5C8B263D1ECB4C7E761D588?width=172&amp;height=172
Immunity Boost Berries Protein Shake,"1 scoop Whey or Vegan protein, strawberries, raspberries, and blueberries blended with skimmed or almond milk.
KCal: 173, P: 25g C: 16g F: 1g",39,https://images.deliveryhero.io/image/talabat/Menuitems/DC0085553977338E1A1A3F76F42AA222?width=172&amp;height=172
Fibrous Banana Protein Shake,"1 scoop Whey or Vegan protein, banana, and flaxseeds blended with skimmed or almond milk.
KCal: 196, P: 21g C: 21g F: 3g",35,https://images.deliveryhero.io/image/talabat/Menuitems/C952E628CFEA87F2CBD6ADCA60EFBB3B?width=172&amp;height=172
Clean Green Smoothie,"Apple, cucumber, spinach, celery, lemon juice and ginger juice blended with Greek yoghurt.
KCal: 160, P: 10g C: 27g F: 1g",30,https://images.deliveryhero.io/image/talabat/Menuitems/3FB3AA63794CD112FC9512A6BCF45B20?width=172&amp;height=172
Acai Power Smoothie,"Acai, mango, banana, granola, and chia seeds blended together.
KCal: 398, P: 8g C: 50g F: 18g",32,https://images.deliveryhero.io/image/talabat/Menuitems/0D3FEFEF98270AF9C9476870561DF3F3?width=172&amp;height=172
Fresh Orange Juice,Freshly squeezed OJ,22,https://images.deliveryhero.io/image/talabat/Menuitems/8E822708405311BE7472CBD483CFF314?width=172&amp;height=172
Post Workout 500+ Calorie Meal,"Beef Tenderloin Fajita Bowl + Immunity Berries Boost Protein Shake 
(KCal: 720, P: 48g C: 54g F: 35g)",59,https://images.deliveryhero.io/image/talabat/Menuitems/0B68749373B584E290C2F88DD2543C39?width=172&amp;height=172
Keto Energizing 500 Calorie Meal,"Fish Avocado Zucchini Noodles + Chicken Satay w/ Peanut Sauce 
(KCal: 493, P: 22g C: 19g F: 37g)",54,https://images.deliveryhero.io/image/talabat/Menuitems/B074FCCA8976BEA13997F05D462F9F67?width=172&amp;height=172
Lean Under 400 Calorie Meal,"Tofu Mushroom Vegan Poke Bowl + Immunity Berries Boost Protein Shake 
(KCal: 343, P: 36g C: 27g F: 11g)",54,https://images.deliveryhero.io/image/talabat/Menuitems/F2914F13CA28F4B8656944C435C23361?width=172&amp;height=172
Everyday Maintenance 450 Calorie Meal,"Cajun Chicken Quinoa Bowl + Rosemary Roasted Potato 
(KCal: 433, P: 22g C: 40g F: 20g)",46,https://images.deliveryhero.io/image/talabat/Menuitems/608038907D99FA3F781945B40E77EC20?width=172&amp;height=172
